#,PlantName,ScientificName,EdibleParts,PreparationMethods,Notes,Varieties,Warnings,LookAlike,Identification
82,Silverweed,Argentina spp.,Rhizome,"rhizomes are edible raw, though possibly bitter. rhizomes is best when roasted, boiled, or fried for several minutes.","Grows in moist, open areas in plains, foothills, and montane regions.",varieties in the Pacific Northwest include Common silverweed (Argentina anserina) and Pacific silverweed (Argentina pacifica).,Roots can be dried for storage. roots are best when collected in autumn or spring.,,
83,Soapberry,Shepherdia canadensis,Berries,,"Shrub grows about as tall as a person, berries are bitter, soapy, clustered 1-3",,"The berry contains toxic saponins, which are harmless in moderation and are destroyed by cooking.",,
84,Sow Thistle,Sonchus spp.,young leaves are edible raw.,young leaves are best after boiling in at least one change of water.,Grows by roadways and in disturbed areas.,"varieties in the Pacific Northwest include Perennial sow thistle (Sonchus arvensis), Prickly sow thistle (Sonchus asper) and Annual sow thistle (Sonchus oleraceus).",,,
85,Speedwell,Veronica spp.,"Leaves, Flowers","leaves are edible raw, stems and flowers are edible raw., leaves are best harvested when young.","The plant is high in vitamin C. The plant is suitable as a potherb. Grows in meadows, steambanks, forested areas and disturbed sites.","varieties in the Pacific Northwest include American speedwell (Veronica americana), Common speedwell (Veronica officinalis) and Thyme-leaved speedwell (Veronica serpyllifolia).",Avoid consuming plants growing near polluted water.,,
86,Stinging Nettle,Urtica dioica,"young leaves, young shoots, young plants, roots","raw (leaves), steamed/cooked (shoots/plants), cooked (roots)","Grows in moist soil and disturbed areas in plains, foothills, and montane regions",n/a,Wear gloves when collecting to avoid stings,,
87,Stonecrop,Sedum spp.,"young leaves, shoots, rhizome","raw (leaves/shoots), boiled (rhizome)","Grows in dry, rocky areas in subalpine and alpine regions. Older plants may be bitter","Lance-leaved stonecrop (Sedum lanceolatum), Spreading stonecrop (Sedum divergens)",,,
88,Stork's-bill,Erodium cicutarium,leaves,"raw, potherb","Leaves are best when young; sharp flavour similar to parsley. Grows in open areas, fields, disturbed sites",n/a,,,
89,Strawberry-blite,Chenopodium capitatum,young plants including flowers,raw,"Found in foothills, montane and subalpine regions",n/a,Seeds eaten in quantity may be toxic; raw plants should be eaten in moderation due to oxalates,,
90,Sunflower,Helianthus spp.,"sprouts, seeds, kernels, shells, crushed seeds","raw, dried, parched, ground, boiled, mixed with bone marrow/grease, skimming oil",Grows in open sites and disturbed areas,"Common sunflower (Helianthus annuus), Prairie sunflower (Helianthus petiolaris)",n/a,,
91,Swamp Hedge-nettle,Stachys palustris,"rhizome, roots, young shoots, flowers, seeds","raw (rhizome), dried and ground (roots), cooked (shoots), edible (flowers, seeds)",Grows in moist plains and foothill regions,n/a,the rhizome is best collected in autumn; young shoots poor smelling,,
